Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	1627.2	1628.3	0	4000	target	 
2	Spectrogram_1	1	2574.85	2575.85	0	4000	target	 
3	Spectrogram_1	1	3022.8	3023.85	0	4000	target	 
4	Spectrogram_1	1	3154.55	3156.15	0	4000	target	 
5	Spectrogram_1	1	3552.5	3553.6	0	4000	target	 
6	Spectrogram_1	1	3634.05	3635.1	0	4000	target	 
7	Spectrogram_1	1	3690.95	3692.4	0	4000	target	 
8	Spectrogram_1	1	3753.0	3754.3	0	4000	target	 
9	Spectrogram_1	1	3835.45	3836.3	0	4000	target	 
10	Spectrogram_1	1	3932.7	3934.0	0	4000	target	 
11	Spectrogram_1	1	3970.0	3971.15	0	4000	target	 
12	Spectrogram_1	1	4285.85	4287.15	0	4000	target	 
13	Spectrogram_1	1	4290.05	4291.2	0	4000	target	 
14	Spectrogram_1	1	4294.9	4296.9	0	4000	target	 
15	Spectrogram_1	1	4300.1	4301.0	0	4000	target	 
16	Spectrogram_1	1	4302.4	4304.25	0	4000	target	 
17	Spectrogram_1	1	4337.25	4338.3	0	4000	target	 
18	Spectrogram_1	1	4341.9	4342.7	0	4000	target	 
19	Spectrogram_1	1	4348.8	4351.05	0	4000	target	 
20	Spectrogram_1	1	4354.65	4356.0	0	4000	target	 
21	Spectrogram_1	1	4391.85	4392.65	0	4000	target	 
22	Spectrogram_1	1	4732.0	4733.35	0	4000	target	 
23	Spectrogram_1	1	4753.25	4754.75	0	4000	target	 
24	Spectrogram_1	1	4756.8	4758.05	0	4000	target	 
25	Spectrogram_1	1	4763.7	4765.15	0	4000	target	 
26	Spectrogram_1	1	4771.6	4772.55	0	4000	target	 
27	Spectrogram_1	1	4795.7	4796.9	0	4000	target	 
28	Spectrogram_1	1	4820.5	4821.3	0	4000	target	 
29	Spectrogram_1	1	4858.4	4859.3	0	4000	target	 
30	Spectrogram_1	1	4924.55	4926.0	0	4000	target	 
31	Spectrogram_1	1	5203.25	5204.65	0	4000	target	 
32	Spectrogram_1	1	5214.1	5215.4	0	4000	target	 
33	Spectrogram_1	1	5217.55	5218.8	0	4000	target	 
34	Spectrogram_1	1	5227.6	5229.05	0	4000	target	 
35	Spectrogram_1	1	5281.6	5284.2	0	4000	target	 
36	Spectrogram_1	1	5291.15	5293.65	0	4000	target	 
37	Spectrogram_1	1	5307.7	5309.05	0	4000	target	 
38	Spectrogram_1	1	5403.75	5405.05	0	4000	target	 
39	Spectrogram_1	1	5465.5	5466.9	0	4000	target	 
40	Spectrogram_1	1	5467.05	5468.05	0	4000	target	 
41	Spectrogram_1	1	5505.05	5506.3	0	4000	target	 
42	Spectrogram_1	1	5543.5	5544.7	0	4000	target	 
43	Spectrogram_1	1	5735.5	5736.85	0	4000	target	 
44	Spectrogram_1	1	7271.95	7273.1	0	4000	target	 
45	Spectrogram_1	1	7436.65	7437.65	0	4000	target	 
46	Spectrogram_1	1	7818.15	7819.25	0	4000	target	 
47	Spectrogram_1	1	7819.7	7821.75	0	4000	target	 
48	Spectrogram_1	1	8225.8	8227.05	0	4000	target	 
49	Spectrogram_1	1	8402.7	8403.85	0	4000	target	 
50	Spectrogram_1	1	8811.1	8812.05	0	4000	target	 
51	Spectrogram_1	1	9342.55	9344.6	0	4000	target	 
52	Spectrogram_1	1	9370.0	9371.65	0	4000	target	 
53	Spectrogram_1	1	9379.35	9381.5	0	4000	target	 
54	Spectrogram_1	1	9382.7	9383.85	0	4000	target	 
55	Spectrogram_1	1	9384.15	9385.0	0	4000	target	 
56	Spectrogram_1	1	9390.85	9392.15	0	4000	target	 
57	Spectrogram_1	1	9407.8	9409.25	0	4000	target	 
58	Spectrogram_1	1	9421.5	9422.4	0	4000	target	 
59	Spectrogram_1	1	9425.0	9427.8	0	4000	target	 
60	Spectrogram_1	1	9437.85	9441.0	0	4000	target	 
61	Spectrogram_1	1	9479.55	9481.05	0	4000	target	 
62	Spectrogram_1	1	9498.8	9499.65	0	4000	target	 
63	Spectrogram_1	1	9507.55	9508.65	0	4000	target	 
64	Spectrogram_1	1	9536.05	9537.4	0	4000	target	 
65	Spectrogram_1	1	9549.9	9551.75	0	4000	target	 
66	Spectrogram_1	1	9571.55	9572.35	0	4000	target	 
67	Spectrogram_1	1	9601.65	9602.65	0	4000	target	 
68	Spectrogram_1	1	9620.45	9622.0	0	4000	target	 
69	Spectrogram_1	1	9624.9	9626.35	0	4000	target	 
70	Spectrogram_1	1	9634.05	9634.85	0	4000	target	 
71	Spectrogram_1	1	9638.1	9639.3	0	4000	target	 
72	Spectrogram_1	1	9645.7	9647.0	0	4000	target	 
73	Spectrogram_1	1	9793.05	9794.55	0	4000	target	 
74	Spectrogram_1	1	9943.5	9945.25	0	4000	target	 
75	Spectrogram_1	1	10059.0	10060.2	0	4000	target	 
76	Spectrogram_1	1	10078.15	10079.65	0	4000	target	 
77	Spectrogram_1	1	10686.1	10686.9	0	4000	target	 
78	Spectrogram_1	1	10714.05	10714.85	0	4000	target	 
79	Spectrogram_1	1	10763.3	10764.7	0	4000	target	 
80	Spectrogram_1	1	10839.45	10840.75	0	4000	target	 
81	Spectrogram_1	1	10858.5	10859.55	0	4000	target	 
82	Spectrogram_1	1	11230.35	11232.25	0	4000	target	 
83	Spectrogram_1	1	11232.65	11234.35	0	4000	target	 
84	Spectrogram_1	1	11253.65	11255.25	0	4000	target	 
85	Spectrogram_1	1	11270.35	11271.2	0	4000	target	 
86	Spectrogram_1	1	11292.15	11293.15	0	4000	target	 
87	Spectrogram_1	1	11363.5	11364.3	0	4000	target	 
88	Spectrogram_1	1	11364.8	11366.1	0	4000	target	 
89	Spectrogram_1	1	11378.55	11380.0	0	4000	target	 
90	Spectrogram_1	1	11382.85	11383.75	0	4000	target	 
91	Spectrogram_1	1	11516.95	11518.6	0	4000	target	 
92	Spectrogram_1	1	11521.7	11522.95	0	4000	target	 
93	Spectrogram_1	1	12426.8	12428.1	0	4000	target	 
94	Spectrogram_1	1	12611.45	12612.7	0	4000	target	 
95	Spectrogram_1	1	12704.2	12705.15	0	4000	target	 
96	Spectrogram_1	1	12798.95	12799.75	0	4000	target	 
97	Spectrogram_1	1	12818.85	12819.65	0	4000	target	 
98	Spectrogram_1	1	12833.45	12835.3	0	4000	target	 
99	Spectrogram_1	1	12940.25	12941.05	0	4000	target	 
100	Spectrogram_1	1	12981.5	12982.35	0	4000	target	 
101	Spectrogram_1	1	13411.25	13412.85	0	4000	target	 
102	Spectrogram_1	1	13782.1	13783.1	0	4000	target	 
103	Spectrogram_1	1	13859.65	13861.25	0	4000	target	 
