Selection	View	Channel	Begin time (s)	End time (s)	Low Freq (Hz)	High Freq (Hz)	Sound type	Comments
1	Spectrogram_1	1	86.8	88.7	0	4000	target	 
2	Spectrogram_1	1	214.95	216.0	0	4000	target	 
3	Spectrogram_1	1	569.1	570.15	0	4000	target	 
4	Spectrogram_1	1	1207.0	1209.0	0	4000	target	 
5	Spectrogram_1	1	1210.1	1211.75	0	4000	target	 
6	Spectrogram_1	1	1213.3	1216.25	0	4000	target	 
7	Spectrogram_1	1	1216.5	1222.1	0	4000	target	 
8	Spectrogram_1	1	1227.35	1230.35	0	4000	target	 
9	Spectrogram_1	1	1231.2	1232.25	0	4000	target	 
10	Spectrogram_1	1	1233.3	1234.45	0	4000	target	 
11	Spectrogram_1	1	1234.95	1236.15	0	4000	target	 
12	Spectrogram_1	1	1240.25	1242.15	0	4000	target	 
13	Spectrogram_1	1	1245.4	1250.1	0	4000	target	 
14	Spectrogram_1	1	1251.15	1252.15	0	4000	target	 
15	Spectrogram_1	1	1254.45	1256.65	0	4000	target	 
16	Spectrogram_1	1	1260.15	1261.45	0	4000	target	 
17	Spectrogram_1	1	1262.35	1263.45	0	4000	target	 
18	Spectrogram_1	1	1263.7	1264.5	0	4000	target	 
19	Spectrogram_1	1	1266.55	1268.3	0	4000	target	 
20	Spectrogram_1	1	1268.85	1271.25	0	4000	target	 
21	Spectrogram_1	1	1273.75	1276.4	0	4000	target	 
22	Spectrogram_1	1	1281.6	1286.05	0	4000	target	 
23	Spectrogram_1	1	1286.3	1289.2	0	4000	target	 
24	Spectrogram_1	1	1293.4	1294.45	0	4000	target	 
25	Spectrogram_1	1	1299.35	1301.3	0	4000	target	 
26	Spectrogram_1	1	1305.25	1307.55	0	4000	target	 
27	Spectrogram_1	1	1307.85	1308.75	0	4000	target	 
28	Spectrogram_1	1	1316.2	1318.35	0	4000	target	 
29	Spectrogram_1	1	1590.45	1595.2	0	4000	target	 
30	Spectrogram_1	1	1687.45	1690.4	0	4000	target	 
31	Spectrogram_1	1	1693.2	1695.5	0	4000	target	 
32	Spectrogram_1	1	1696.4	1700.0	0	4000	target	 
33	Spectrogram_1	1	1704.05	1705.1	0	4000	target	 
34	Spectrogram_1	1	1714.6	1715.4	0	4000	target	 
35	Spectrogram_1	1	1717.2	1719.65	0	4000	target	 
36	Spectrogram_1	1	1753.0	1754.1	0	4000	target	 
37	Spectrogram_1	1	1844.75	1846.15	0	4000	target	 
38	Spectrogram_1	1	2065.7	2066.95	0	4000	target	 
39	Spectrogram_1	1	2739.55	2740.35	0	4000	target	 
40	Spectrogram_1	1	3225.75	3226.55	0	4000	target	 
41	Spectrogram_1	1	3232.0	3233.0	0	4000	target	 
42	Spectrogram_1	1	3266.85	3267.9	0	4000	target	 
43	Spectrogram_1	1	3272.0	3273.2	0	4000	target	 
44	Spectrogram_1	1	3278.15	3279.3	0	4000	target	 
45	Spectrogram_1	1	3308.6	3309.7	0	4000	target	 
46	Spectrogram_1	1	3315.75	3317.0	0	4000	target	 
47	Spectrogram_1	1	3345.45	3346.75	0	4000	target	 
48	Spectrogram_1	1	3730.9	3732.3	0	4000	target	 
49	Spectrogram_1	1	3757.7	3759.0	0	4000	target	 
50	Spectrogram_1	1	3759.6	3760.4	0	4000	target	 
51	Spectrogram_1	1	3821.15	3821.95	0	4000	target	 
52	Spectrogram_1	1	3827.85	3829.15	0	4000	target	 
53	Spectrogram_1	1	3880.85	3881.65	0	4000	target	 
54	Spectrogram_1	1	3903.85	3905.3	0	4000	target	 
55	Spectrogram_1	1	3916.3	3918.35	0	4000	target	 
56	Spectrogram_1	1	3940.5	3941.3	0	4000	target	 
57	Spectrogram_1	1	3958.65	3959.7	0	4000	target	 
58	Spectrogram_1	1	4083.5	4084.5	0	4000	target	 
59	Spectrogram_1	1	4391.35	4393.75	0	4000	target	 
60	Spectrogram_1	1	4400.35	4401.3	0	4000	target	 
61	Spectrogram_1	1	4430.2	4432.1	0	4000	target	 
62	Spectrogram_1	1	4437.05	4438.6	0	4000	target	 
63	Spectrogram_1	1	4453.35	4464.0	0	4000	target	 
64	Spectrogram_1	1	4464.15	4467.6	0	4000	target	 
65	Spectrogram_1	1	4468.0	4468.9	0	4000	target	 
66	Spectrogram_1	1	4471.2	4474.65	0	4000	target	 
67	Spectrogram_1	1	4475.65	4478.7	0	4000	target	 
68	Spectrogram_1	1	4499.6	4500.4	0	4000	target	 
69	Spectrogram_1	1	4531.65	4534.0	0	4000	target	 
70	Spectrogram_1	1	4543.6	4545.05	0	4000	target	 
71	Spectrogram_1	1	4546.05	4548.8	0	4000	target	 
72	Spectrogram_1	1	4556.6	4557.7	0	4000	target	 
73	Spectrogram_1	1	4565.6	4566.4	0	4000	target	 
74	Spectrogram_1	1	4672.0	4673.25	0	4000	target	 
75	Spectrogram_1	1	4758.75	4759.85	0	4000	target	 
76	Spectrogram_1	1	4842.6	4843.55	0	4000	target	 
77	Spectrogram_1	1	5314.45	5315.45	0	4000	target	 
78	Spectrogram_1	1	5737.5	5738.7	0	4000	target	 
79	Spectrogram_1	1	6280.95	6281.9	0	4000	target	 
80	Spectrogram_1	1	7252.75	7253.8	0	4000	target	 
81	Spectrogram_1	1	7918.3	7919.15	0	4000	target	 
82	Spectrogram_1	1	8267.05	8268.0	0	4000	target	 
83	Spectrogram_1	1	8271.9	8273.05	0	4000	target	 
84	Spectrogram_1	1	8376.15	8377.15	0	4000	target	 
